id,nme,shortnme
769,pfam00064,Neur
770,pfam00066,Notch
771,pfam00067,p450
772,pfam00068,Phospholip_A2_1
773,pfam00069,Pkinase
774,pfam00070,Pyr_redox
775,pfam00071,Ras
776,pfam00072,Response_reg
777,pfam00073,Rhv
778,pfam00074,RnaseA
779,pfam00075,RNase_H
780,pfam00076,RRM_1
781,pfam00077,RVP
782,pfam00078,RVT_1
783,pfam00079,Serpin
784,pfam00080,Sod_Cu
785,pfam00081,Sod_Fe_N
786,pfam00082,Peptidase_S8
787,pfam00083,Sugar_tr
788,pfam00084,Sushi
789,pfam00085,Thioredoxin
790,pfam00086,Thyroglobulin_1
791,pfam00087,Toxin_TOLIP
792,pfam00088,Trefoil
793,pfam00089,Trypsin
794,pfam00090,TSP_1
795,pfam00091,Tubulin
796,pfam00092,VWA
797,pfam00093,VWC
798,pfam00094,VWD
799,pfam00095,WAP
800,pfam00096,zf-C2H2
801,pfam00097,zf-C3HC4
802,pfam00098,zf-CCHC
803,pfam00100,Zona_pellucida
804,pfam00101,RuBisCO_small
805,pfam00102,Y_phosphatase
806,pfam00103,Hormone_1
807,pfam00104,Hormone_recep
808,pfam00105,zf-C4
809,pfam00106,adh_short
810,pfam00107,ADH_zinc_N
811,pfam00108,Thiolase_N
812,pfam00109,ketoacyl-synt
813,pfam00110,wnt
814,pfam00111,Fer2
815,pfam00112,Peptidase_C1
816,pfam00113,Enolase_C
817,pfam00114,Pilin
818,pfam00115,COX1
819,pfam00116,COX2
820,pfam00117,GATase
821,pfam00118,Cpn60_TCP1
822,pfam00119,ATP-synt_A
823,pfam00120,Gln-synt_C
824,pfam00121,TIM
825,pfam00122,E1-E2_ATPase
826,pfam00123,Hormone_2
827,pfam00124,Photo_RC
828,pfam00125,Histone
829,pfam00126,HTH_1
830,pfam00127,Copper-bind
831,pfam00128,Alpha-amylase
832,pfam00129,MHC_I
833,pfam00130,C1_1
834,pfam00131,Metallothio
835,pfam00132,Hexapep
836,pfam00133,tRNA-synt_1
837,pfam00134,Cyclin_N
838,pfam00135,COesterase
839,pfam00136,DNA_pol_B
840,pfam00137,ATP-synt_C
841,pfam00138,Lectin_legA
842,pfam00139,Lectin_legB
843,pfam00140,Sigma70_r1_2
844,pfam00141,peroxidase
845,pfam00142,Fer4_NifH
846,pfam00143,Interferon
847,pfam00144,Beta-lactamase
848,pfam00145,DNA_methylase
849,pfam00146,NADHdh
850,pfam00147,Fibrinogen_C
851,pfam00148,Oxidored_nitro
852,pfam00149,Metallophos
853,pfam00150,Cellulase
854,pfam00151,Lipase
855,pfam00152,tRNA-synt_2
856,pfam00153,Mito_carr
857,pfam00154,RecA
858,pfam00155,Aminotran_1_2
859,pfam00156,Pribosyltran
860,pfam00157,Pou
861,pfam00158,Sigma54_activat
862,pfam00159,Hormone_3
863,pfam00160,Pro_isomerase
864,pfam00161,RIP
865,pfam00162,PGK
866,pfam00163,Ribosomal_S4
867,pfam00164,Ribosom_S12_S23
868,pfam00165,HTH_AraC
869,pfam00166,Cpn10
870,pfam00167,FGF
871,pfam00168,C2
872,pfam00169,PH
873,pfam00170,bZIP_1
874,pfam00171,Aldedh
875,pfam00172,Zn_clus
876,pfam00173,Cyt-b5
877,pfam00174,Oxidored_molyb
878,pfam00175,NAD_binding_1
879,pfam00176,SNF2-rel_dom
880,pfam00177,Ribosomal_S7
881,pfam00178,Ets
